num,name,region,district,desc,url_about,url_tg,url_money
2,КУХТУЕКОВ СЕРГЕЙ ВЛАДИМИРОВИЧ,Республика Алтай,Алтайский одномандатный избирательный округ,"54 года, предприниматель.",,,
6,АКИМЕНКО АЛЕКСЕЙ АЛЕКСАНДРОВИЧ,Республика Башкортостан,Нефтекамский одномандатный избирательный округ,"30 лет, предприниматель, заместитель председателя Башкирского «Яблока», председатель Агидельского местного отделения.",,https://t.me/alexey_akimenko,
10,ДЕВЛЕТХАНОВ ВАГИД АСРЕТОВИЧ,Республика Дагестан,Махачкалинский одномандатный избирательный округ,"36 лет, гражданский активист, член партии.",,,
12,ЭСЕДОВ АЛЬБЕРТ АБДУРАХМАНОВИЧ,Республика Дагестан,Дербентский одномандатный избирательный округ,"51 год, кандидат филологических наук, ведущий инженер филиала ППК «Роскадастр» по Республике Дагестан, доцент Дагестанского государственного университета народного хозяйства, председатель Дагестанского «Яблока».",,,
17,ТАППАСХАНОВА АМИНАТ АНУАРОВНА,Кабардино-Балкарская Республика,Кабардино-Балкарский одномандатный избирательный округ,"49 лет, редактор газеты «ЗАМАН», заместитель председателя Кабардино-Балкарского «Яблока».",,,
19,АБАЗОВ АХМЕД НАЗИРОВИЧ,Карачаево-Черкесская Республика,Карачаево-Черкесский одномандатный избирательный округ,"52 года, председатель Карачаево-Черкесского «Яблока», инструктор регионального отделения партии.",,,
20,ПАВЛОВА АННА ВАЛЕРЬЕВНА,Республика Карелия,Карельский одномандатный избирательный округ,"44 года, помощник адвоката Первой коллегии адвокатов Республики Карелия.",,,
27,ТЕЛЯТЬЕВ ИВАН СЕРГЕЕВИЧ,Республика Марий Эл,Марийский одномандатный избирательный округ,"49 лет, ветеринарный врач.",,,
29,НОГОВИЦЫН АНАТОЛИЙ ГРИГОРЬЕВИЧ,Республика Саха (Якутия),Якутский одномандатный избирательный округ,"38 лет, председатель Якутского «Яблока».",,,
31,ФЁДОРОВА СОФЬЯ АЛЕКСАНДРОВНА,Республика Татарстан (Татарстан),Приволжский одномандатный избирательный округ,"22 года, юрист.",,https://t.me/lm483lm483,
32,САЛАХОВ РЕНАТ ЖАМИЛЕВИЧ,Республика Татарстан (Татарстан),Московский одномандатный избирательный округ,"40 лет, сервисный инженер.",,https://t.me/RenatSDR116,
34,ГУМЕРБАЕВ АЙРАТ ИЛЬНАТОВИЧ,Республика Татарстан (Татарстан),Набережно-Челнинский одномандатный избирательный округ,"36 лет, сотрудник ООО Научно-исследовательский медицинский комплекс «Ваше здоровье».",,,
36,ЗИНАТУЛЛИН РУСЛАН МАНСУРОВИЧ,Республика Татарстан (Татарстан),Центральный одномандатный избирательный округ,"47 лет, председатель регионального отделения «Яблока» в Республике Татарстан, член федерального Бюро партии.",https://www.yabloko.ru/content/zinatullin_ruslan_mansurovich,https://t.me/predsedatelslovo,
